Player name,Rating,Won,Draw,Lost,Last Online,Joined
Shinya_Kojima,2510,163,15,34,16-01-2023,30-09-2011
gm3t,2487,50,9,14,16-01-2023,10-11-2014
Yuji9029,2409,83,13,23,16-01-2023,27-01-2022
sumomomomomomomomonouchi,2359,22,3,6,16-01-2023,11-12-2022
kelvinbest,2341,159,12,55,16-01-2023,26-01-2021
grandperry,2308,23,4,7,16-01-2023,18-09-2021
GMsamargalo,2295,130,13,79,16-01-2023,24-11-2012
Yukiteroo,2284,81,7,8,16-01-2023,21-10-2021
2vasf2,2273,48,1,13,28-11-2022,02-02-2012
girlonfilm,2263,34,3,10,16-01-2023,06-09-2022
Fifth_something,2253,50,5,15,16-01-2023,14-01-2018
chibiami,2249,207,21,116,13-12-2022,12-08-2022
pomuta2020,2241,27,2,8,16-01-2023,10-06-2022
EinsteinAckerman,2235,549,71,589,16-01-2023,23-04-2021
testcalls69,2225,132,5,44,16-01-2023,08-09-2019
EliteHo3,2220,48,5,19,16-01-2023,23-10-2015
Timetransfixed,2206,492,68,368,24-11-2022,06-03-2021
Y-A-N-S-U,2204,205,19,49,16-01-2023,03-06-2022
Symbols0,2201,3370,630,3262,16-01-2023,13-01-2021
crossingthestreet,2198,19,5,13,16-01-2023,10-04-2020
GMironfist19,2196,1143,216,1151,16-01-2023,08-01-2018
Nesh1511,2192,48,4,8,16-01-2023,14-02-2019
shemshak873,2189,335,78,221,16-01-2023,02-12-2020
Matasaburo,2188,92,58,49,16-01-2023,26-06-2021
Out_of_the_Zoo,2187,12,8,13,16-01-2023,18-05-2021
Kakashi89,2173,560,42,494,16-01-2023,17-06-2016
Zucci,2171,424,37,360,16-01-2023,05-01-2018
Karoken99,2166,21,1,5,16-01-2023,09-10-2022
DELTA2020,2160,1066,191,1136,16-01-2023,10-06-2016
carlosalonso1963,2155,2132,187,1766,16-01-2023,21-02-2019
focalpointlight,2155,24,4,6,16-01-2023,11-11-2022
a414a2,2155,502,61,313,16-01-2023,06-01-2022
Diego_Yokohama_Chess,2155,43,3,11,16-01-2023,06-10-2013
Nanantoo,2145,815,51,605,16-01-2023,01-12-2021
LauraLang,2128,65,6,25,16-01-2023,26-08-2022
ArrogantWitch,2127,49,3,18,16-01-2023,27-08-2022
Sas_aki,2116,22,0,6,16-01-2023,21-10-2022
Kremetten,2116,46,5,19,16-01-2023,23-07-2022
wanwan0308,2112,582,111,474,16-01-2023,02-10-2016
M24-0917,2112,22,1,8,16-01-2023,22-10-2022
Miss-Tical,2111,31,1,7,16-01-2023,15-08-2022
Kaminari_77,2108,163,8,104,16-01-2023,29-10-2022
Aiueo4,2107,118,2,8,16-01-2023,18-12-2020
Arth_07,2106,218,49,168,16-01-2023,09-10-2017
ramoveatnust,2105,1378,206,1306,16-01-2023,03-02-2019
IHopeTheWorldEndsTmr,2101,11,2,7,16-01-2023,16-01-2023
Prest9,2098,1070,151,868,16-01-2023,11-11-2020
Morijiro,2092,82,9,63,16-01-2023,29-11-2016
p5ym0n,2090,12,0,8,16-01-2023,16-01-2023
DimDo0M,2086,83,8,31,16-01-2023,05-07-2021
Watai_Miyoko,2085,20,0,5,16-01-2023,19-04-2022
tw2r583,2081,1358,283,1548,16-01-2023,25-09-2020
Chikotan,2080,451,67,392,16-01-2023,06-11-2011
MitrofanAlipov,2080,457,63,273,16-01-2023,13-12-2016
Kingz927,2078,381,38,309,16-01-2023,14-06-2019
sutek001,2076,624,88,589,16-01-2023,12-02-2014
chrysanthemon,2075,626,99,517,16-01-2023,22-10-2009
Menantea11,2075,211,2,44,16-01-2023,29-10-2022
ExchangeSacOP,2070,124,15,28,16-01-2023,03-01-2020
AhnThuk9,2067,39,12,27,16-01-2023,20-02-2022
flyhighponta,2066,31,4,21,16-01-2023,30-05-2012
cimohaaa,2066,131,11,46,12-12-2022,02-07-2016
nguyenhazuki,2061,133,8,89,16-01-2023,27-08-2018
ryouyin,2061,266,22,268,16-01-2023,15-02-2011
Lycaon-Pictus,2059,347,67,264,16-01-2023,11-06-2020
ndodos,2059,118,8,81,16-01-2023,19-11-2018
poggamer2233,2058,15,1,4,04-12-2022,05-11-2022
Sink191,2052,37,5,23,16-01-2023,16-01-2023
Sasuke_Uchiha200927,2052,33,1,4,16-01-2023,12-08-2021
AxelMurdock,2050,73,1,10,16-01-2023,10-08-2020
Yudai0515,2050,53,5,38,16-01-2023,19-08-2010
taikenshira,2050,42,4,14,16-01-2023,16-01-2023
Squared_Pants,2048,24,3,15,16-01-2023,16-01-2023
Aleksandrkoven,2047,79,6,44,16-01-2023,15-12-2022
chess0684,2046,58,9,33,16-01-2023,11-08-2021
zhangxianzhong,2044,113,2,5,16-01-2023,27-05-2022
RyanFili,2044,244,22,158,16-01-2023,07-04-2022
